iter	Logloss
0	0.6832182169
1	0.6733553084
2	0.663737573
3	0.6558833071
4	0.6473826142
5	0.6391168614
6	0.6316246473
7	0.6246424325
8	0.6184296987
9	0.6116239445
10	0.6052419115
11	0.5993581008
12	0.5936741449
13	0.5897442296
14	0.5845636655
15	0.5795195471
16	0.575326617
17	0.5708133593
18	0.5669259637
19	0.5631395901
20	0.5597500121
21	0.5561496021
22	0.5527018813
23	0.5495737425
24	0.5461356936
25	0.5436713313
26	0.5408350791
27	0.5379080056
28	0.5355521016
29	0.5332731306
30	0.5312696102
31	0.5290122297
32	0.5266702659
33	0.5250442314
34	0.5228637694
35	0.5209360341
36	0.5193237664
37	0.5174360451
38	0.5157843863
39	0.5140487381
40	0.5124528297
41	0.5109457526
42	0.5096653053
43	0.5083416845
44	0.5068191568
45	0.5051641501
46	0.5038817962
47	0.5025589165
48	0.5014542976
49	0.5004333366
50	0.499226616
51	0.4982326973
52	0.4974109851
53	0.4965113937
54	0.4952075935
55	0.4945123242
56	0.4937805278
57	0.4929256045
58	0.4918337998
59	0.4909971068
60	0.4903276002
61	0.4898272119
62	0.4889976911
63	0.488220284
64	0.4875730039
65	0.4870283743
66	0.4864190133
67	0.485745912
68	0.4850719434
69	0.484372865
70	0.4836323009
71	0.4830141639
72	0.4823353164
73	0.4817049176
74	0.48119577
75	0.4806195427
76	0.480036065
77	0.4795503582
78	0.4792894548
79	0.4787521504
80	0.4782120512
81	0.4776571786
82	0.4772512285
83	0.4767311986
84	0.4761859046
85	0.4757008639
86	0.4752752494
87	0.4748049414
88	0.4744398001
89	0.4740760543
90	0.4736519855
91	0.4731918013
92	0.4727958954
93	0.4724507802
94	0.4720730908
95	0.4717344122
96	0.4713647356
97	0.4709135402
98	0.4704956829
99	0.4702032267
100	0.4698808739
101	0.4693353134
102	0.4688417751
103	0.4685631487
104	0.4683322076
105	0.4679362487
106	0.46744823
107	0.4671504175
108	0.4668863332
109	0.4664571811
110	0.4661288495
111	0.4659094446
112	0.4656757603
113	0.4653308946
114	0.4649850402
115	0.4646627602
116	0.4642312937
117	0.4640094868
118	0.4637261486
119	0.4635218348
120	0.4632437178
121	0.4629611475
122	0.46256389
123	0.4622669542
124	0.4619891473
125	0.4617316276
126	0.4614922713
127	0.4611690026
128	0.4609401527
129	0.4606574456
130	0.4604353878
131	0.4602059155
132	0.4599476545
133	0.4597339368
134	0.459443413
135	0.4591886486
136	0.4589739908
137	0.4586329612
138	0.4584379661
139	0.4582538522
140	0.4579670852
141	0.4578287434
142	0.4574477821
143	0.4572873045
144	0.4571357965
145	0.4569765942
146	0.4568048365
147	0.4566628881
148	0.4565079284
149	0.4563580714
150	0.4562194235
151	0.4560185232
152	0.4557296542
153	0.455510914
154	0.4553300857
155	0.4551753903
156	0.4549602391
157	0.4547092546
158	0.4544708004
159	0.4542771424
160	0.4541083935
161	0.4537967115
162	0.4536268728
163	0.453458077
164	0.4532826598
165	0.4529709052
166	0.4529095712
167	0.4527367259
168	0.4525660169
169	0.4523466129
170	0.4521488987
171	0.4518996127
172	0.4515536371
173	0.4513803902
174	0.4510971086
175	0.4507682375
176	0.4505685489
177	0.4503827184
178	0.4502253431
179	0.4499692876
180	0.4497066417
181	0.4494259688
182	0.4491517701
183	0.4489348266
184	0.4487348308
185	0.4485828001
186	0.4484516478
187	0.4482264992
188	0.4481179405
189	0.4479287162
190	0.4476857471
191	0.4474991059
192	0.4473239176
193	0.4472338698
194	0.4470628372
195	0.4467232753
196	0.4466046379
197	0.4464551973
198	0.446168736
199	0.4460509774
200	0.4458943208
201	0.4457154547
202	0.4455672044
203	0.445368812
204	0.4452569126
205	0.4450808707
206	0.4448618813
207	0.4447082126
208	0.4445781747
209	0.444457981
210	0.4441885729
211	0.4440823953
212	0.4439067741
213	0.4437649027
214	0.4436509
215	0.4435418742
216	0.443363724
217	0.4431274877
218	0.4430043345
219	0.4426624934
220	0.4425251582
221	0.4423750201
222	0.4422144022
223	0.4420880837
224	0.4418600688
225	0.4416568035
226	0.4413978554
227	0.4412675128
228	0.4412110533
229	0.441040422
230	0.4409355043
231	0.4406767802
232	0.4403848885
233	0.440234023
234	0.4401039229
235	0.4399482353
236	0.4397887505
237	0.4396283508
238	0.4395042306
239	0.4392870309
240	0.4391380445
241	0.4389951585
242	0.4388369004
243	0.43866995
244	0.4385578626
245	0.4383321763
246	0.4382261914
247	0.4380157403
248	0.4378231637
249	0.4375516477
250	0.4374104855
251	0.4372574417
252	0.4370919728
253	0.4369084128
254	0.4367489184
255	0.4365983411
256	0.4364450827
257	0.4362577774
258	0.4361651267
259	0.4359599479
260	0.4358422275
261	0.4356082833
262	0.4354229132
263	0.4352591785
264	0.435152536
265	0.4348862263
266	0.4347581377
267	0.4346408784
268	0.4344631908
269	0.4342974764
270	0.4341105407
271	0.4339462503
272	0.4337061483
273	0.4335558034
274	0.4331632614
275	0.4330221207
276	0.4327994819
277	0.4325362708
278	0.4323939942
279	0.4322394227
280	0.4322383632
281	0.4320896737
282	0.4319710328
283	0.4317539493
284	0.4315238195
285	0.4313103213
286	0.4310554671
287	0.4307970487
288	0.4305896023
289	0.4303389131
290	0.4301332137
291	0.4299557532
292	0.4298290065
293	0.4296752761
294	0.4295176836
295	0.4293749293
296	0.4292717871
297	0.4290298426
298	0.4289501789
299	0.4287396046
300	0.4286524817
301	0.4284999789
302	0.428343653
303	0.4281732861
304	0.4280263558
305	0.4278443261
306	0.4276866057
307	0.4275536661
308	0.4274980695
309	0.4273708208
